detector,classifier,scene,n_gt,n_matched,n_correct
YOLO-INT8-P10,PCNN,13,9,8,2
YOLO-INT8-P10,PCNN,14,5,4,0
YOLO-INT8-P10,PCNN,15,5,5,3
YOLO-INT8-P10,PCNN,16,5,5,3
YOLO-INT8-P10,PCNN,17,3,3,0
YOLO-INT8-P10,PCNN,18,6,6,5
YOLO-INT8-P10,PCNN,19,4,4,0
YOLO-INT8-P15,PCNN,0,12,12,7
YOLO-INT8-P15,PCNN,1,9,9,4
YOLO-INT8-P15,PCNN,2,11,11,8
YOLO-INT8-P15,PCNN,3,4,4,0
YOLO-INT8-P15,PCNN,4,9,8,2
YOLO-INT8-P15,PCNN,5,4,4,1
YOLO-INT8-P15,PCNN,6,4,4,4
YOLO-INT8-P15,PCNN,7,4,4,0
YOLO-INT8-P15,PCNN,8,16,13,4
YOLO-INT8-P15,PCNN,9,8,6,0
YOLO-INT8-P15,PCNN,10,4,4,3
YOLO-INT8-P15,PCNN,11,5,5,2
YOLO-INT8-P15,PCNN,12,5,4,2
YOLO-INT8-P15,PCNN,13,9,8,2
YOLO-INT8-P15,PCNN,14,5,3,0
YOLO-INT8-P15,PCNN,15,5,5,3
YOLO-INT8-P15,PCNN,16,5,5,3
YOLO-INT8-P15,PCNN,17,3,3,0
YOLO-INT8-P15,PCNN,18,6,6,4
YOLO-INT8-P15,PCNN,19,4,4,0
RT-DETR-FP32,PCNN,0,12,12,7
RT-DETR-FP32,PCNN,1,9,9,5
RT-DETR-FP32,PCNN,2,11,10,6
RT-DETR-FP32,PCNN,3,4,4,0
RT-DETR-FP32,PCNN,4,9,8,2
RT-DETR-FP32,PCNN,5,4,4,2
RT-DETR-FP32,PCNN,6,4,4,4
RT-DETR-FP32,PCNN,7,4,4,1
RT-DETR-FP32,PCNN,8,16,14,3
RT-DETR-FP32,PCNN,9,8,8,1
RT-DETR-FP32,PCNN,10,4,4,2
RT-DETR-FP32,PCNN,11,5,5,2
RT-DETR-FP32,PCNN,12,5,4,3
RT-DETR-FP32,PCNN,13,9,9,2
RT-DETR-FP32,PCNN,14,5,3,0
RT-DETR-FP32,PCNN,15,5,5,3
RT-DETR-FP32,PCNN,16,5,5,3
RT-DETR-FP32,PCNN,17,3,3,0
RT-DETR-FP32,PCNN,18,6,6,5
RT-DETR-FP32,PCNN,19,4,4,0
